"your_campus","your_acade","your_grade","club_stud_org","class_commi","soci_acti","dali_live","local","Social Radius"
"WuShan","I10","junior",1,0,0,0,0,2.68562727183417
"WuShan","I11","sophomore",1,1,0,0,0,2.77738481186757
"WuShan","I12","sophomore",0,0,0,0,1,2.87091069849691
"WuShan","I13","junior",1,0,1,0,1,2.16622458001768
"WuShan","I14","junior",1,1,1,1,1,1.96335592887317
"WuShan","I15","senior",1,1,0,1,0,2.70399842813636
"WuShan","I16","junior",1,0,1,1,0,2.28647214854111
"WuShan","I17","junior",1,0,0,0,1,2.69545141958935
"WuShan","I18","senior",0,1,0,0,1,1.96335592887317
"WuShan","I19","senior",1,1,1,1,1,1.96335592887317
"WuShan","I20","senior",1,1,0,1,1,2.22340111995284
"WuShan","J1","senior",1,0,0,0,1,2.74290205324688
"WuShan","J2","sophomore",1,0,0,0,1,2.66430887120542
"WuShan","J3","graduate",0,0,0,0,0,1.96718734649769
"WuShan","J4","junior",1,0,0,1,1,2.43157481088516
"WuShan","J5","freshman",0,1,0,1,0,2.90421455938697
"WuShan","J6","junior",1,0,0,1,1,2.38893800962766
"WuShan","K1","freshman",0,0,0,0,0,2.79329993123097
"WuShan","K2","graduate",0,0,1,1,0,1.962078789665
"WuShan","K3","senior",0,0,0,0,1,2.35995677374988
"WuShan","K4","freshman",0,1,0,0,0,1.962078789665
"WuShan","K5","junior",1,0,1,1,1,2.57962471755575
"WuShan","K6","junior",0,0,0,0,1,2.51940269181648
"WuShan","K7","sophomore",1,0,0,0,1,2.75783475783476
"WuShan","K8","junior",1,1,1,1,1,2.70055997642205
"WuShan","K9","junior",1,0,0,0,1,2.63503291089498
"WuShan","K10","junior",1,1,0,0,1,1.962078789665
"WuShan","K11","junior",1,1,0,0,1,2.36064446409274
"WuShan","K12","junior",1,0,0,1,1,2.32115139011691
"WuShan","K13","junior",1,1,0,1,0,2.21652421652422
"WuShan","K14","junior",1,0,1,1,1,2.39483249828077
"WuShan","K15","senior",0,0,0,1,1,2.49395814913056
"WuShan","K16","junior",0,0,0,1,1,1.962078789665
"WuShan","K17","junior",1,1,1,1,1,2.11042342076825
"WuShan","K18","junior",0,0,0,0,1,2.60271146478043
"WuShan","K19","junior",1,0,0,0,1,1.962078789665
"WuShan","K20","junior",1,0,0,0,0,2.79280872384321
"WuShan","K21","junior",1,1,0,1,1,2.44925827684448
"WuShan","K22","junior",0,1,0,0,1,2.53207584242067
"WuShan","K23","graduate",1,0,1,1,1,2.1215247077316
"WuShan","K24","junior",1,0,0,0,0,2.3582866686315
"WuShan","K25","senior",1,0,0,1,1,1.962078789665
"WuShan","K26","junior",0,0,0,0,1,2.42351900972591
"WuShan","K27","sophomore",1,1,0,0,1,1.962078789665
"WuShan","L1","senior",1,0,0,0,1,2.50574712643678
"WuShan","L2","senior",1,0,0,0,0,1.96463306808134
"WuShan","L3","senior",1,1,0,0,0,2.60300618921309
"WuShan","L4","senior",1,0,0,1,0,1.96463306808134
"WuShan","L5","freshman",1,0,1,1,1,2.60310443069064
"WuShan","L6","senior",0,0,0,0,0,2.81461833185971
"WuShan","L7","graduate",0,0,1,1,0,2.57373022890264
"WuShan","L8","senior",1,1,0,0,0,1.96463306808134
"WuShan","L9","sophomore",1,0,1,1,1,2.15315846350329
"WuShan","L10","senior",1,0,0,0,0,1.96463306808134
"WuShan","L11","junior",0,0,0,0,0,2.7899597209942
"WuShan","L12","junior",1,1,0,0,0,2.63483642793988
"WuShan","L13","junior",1,0,0,0,0,2.78917378917379
"WuShan","L14","junior",0,1,0,0,0,1.96463306808134
"WuShan","L15","junior",1,0,1,1,1,1.96463306808134
"WuShan","M1","junior",1,0,0,0,0,2.21731014834463
"WuShan","M2","junior",1,0,1,1,1,1.96581196581197
"WuShan","M3","junior",0,1,0,0,0,2.89321151390117
"WuShan","M4","junior",1,0,0,0,0,2.89321151390117
"WuShan","M5","junior",1,1,1,1,1,2.54700854700855
"WuShan","M6","junior",1,1,0,1,0,2.3503291089498
"WuShan","M7","junior",1,0,1,1,1,1.96581196581197
"WuShan","M8","junior",1,0,0,0,0,1.96581196581197
"WuShan","N1","senior",1,0,1,0,0,2.47597995873858
"WuShan","N2","senior",1,1,1,1,0,2.90057962471756
"WuShan","N3","freshman",0,0,1,0,1,2.52686904411042
"WuShan","N4","sophomore",1,0,1,1,1,2.18017486983004
"WuShan","N5","junior",0,0,0,0,1,2.62049317221731
"WuShan","N6","freshman",1,0,0,0,0,2.49582473720405
"WuShan","O1","junior",0,1,0,0,0,1.97131348855487
"WuShan","O2","junior",1,0,0,0,1,1.97131348855487
"WuShan","O3","junior",1,1,1,1,1,1.97131348855487
"WuShan","O4","junior",1,0,0,0,0,2.8087238432066
"WuShan","O5","junior",1,0,0,1,1,2.7814127124472
"WuShan","O6","junior",1,1,1,1,0,2.26299243540623
"WuShan","O7","junior",1,1,1,1,0,2.11523725316829
"WuShan","O8","junior",0,0,0,0,1,2.58168778858434
"WuShan","O9","junior",1,1,1,1,1,2.02377443756754
"WuShan","O10","junior",0,0,0,0,1,1.97131348855487
"WuShan","O11","junior",1,0,1,1,1,2.42116121426466
"WuShan","O12","junior",1,1,0,1,1,1.97131348855487
"WuShan","O13","junior",0,1,1,1,0,1.97131348855487
"WuShan","O14","junior",1,1,1,1,0,2.64741133706651
"WuShan","O15","junior",1,0,0,0,0,1.97131348855487
"WuShan","O16","junior",1,0,0,0,0,2.72354848216917
"WuShan","O17","junior",1,1,0,0,0,2.43854995579134
"WuShan","O18","junior",1,1,1,0,0,1.97131348855487
"WuShan","O19","junior",1,1,0,1,1,2.49209156105708
"WuShan","O20","junior",1,1,0,1,1,1.97131348855487
"WuShan","O21","junior",1,0,0,1,1,1.97131348855487
"WuShan","O22","junior",1,1,0,0,1,2.69329010708321
"WuShan","O23","junior",1,1,1,1,1,2.04823656547794
"WuShan","O24","junior",1,1,0,0,0,1.97131348855487
"WuShan","O25","junior",1,0,0,1,0,2.34895372826407
"WuShan","P1","graduate",0,0,1,1,1,2.65615482856862
"WuShan","P2","junior",1,1,1,1,1,2.55594852146576
"WuShan","P3","junior",0,0,0,0,0,2.48943904116318
"WuShan","P4","junior",1,1,1,1,1,2.52421652421652
"WuShan","P5","junior",1,1,0,1,0,1.96296296296296
"WuShan","P6","junior",1,1,0,0,1,2.79192455054524
"WuShan","P7","graduate",1,1,1,1,0,1.96296296296296
"WuShan","P8","junior",0,1,0,0,0,1.96296296296296
"WuShan","Q1","junior",1,1,0,0,0,2.7169663031732
"WuShan","Q2","sophomore",1,0,0,0,1,2.65821789959721
"WuShan","R1","junior",0,0,0,1,1,1.96148934079969
"WuShan","R2","junior",1,0,1,1,0,2.24334413989586
"WuShan","R3","junior",1,1,1,1,1,2.00442086648983
"WuShan","R4","graduate",0,1,1,1,0,2.72905000491207
"WuShan","R5","graduate",1,0,0,1,0,2.06808134394341
"WuShan","R6","junior",1,0,0,1,0,2.7253168287651
"WuShan","R7","graduate",0,0,0,0,0,2.78406523234109
"WuShan","R8","graduate",1,0,0,0,0,2.42911877394636
"WuShan","R9","junior",1,0,0,0,0,2.69574614402201
"WuShan","R10","junior",1,0,0,0,1,2.56547794478829
"WuShan","R11","sophomore",1,1,1,1,1,2.47656940760389
"WuShan","R12","junior",1,0,0,0,0,2.37037037037037
"WuShan","R13","sophomore",1,0,0,1,0,2.2020827193241
"WuShan","R14","senior",1,0,1,1,0,1.96148934079969
"WuShan","R15","senior",1,1,0,0,1,2.45122310639552
"WuShan","R16","freshman",1,0,0,1,0,2.64878671775223
"WuShan","R17","sophomore",1,1,1,1,1,2.48649179683662
"WuShan","R18","sophomore",1,0,1,1,0,2.52176048727773
"WuShan","R19","sophomore",1,1,0,0,1,2.39944984772571
"WuShan","R20","freshman",1,1,1,1,0,2.69584438549956
"WuShan","R21","junior",0,1,0,1,0,2.62177031142548
"WuShan","R22","junior",1,0,1,1,0,2.61901955005403
"WuShan","R23","graduate",1,1,1,1,0,2.27615679339817
"WuShan","R24","junior",1,0,0,1,1,2.39699381078691
"WuShan","R25","freshman",1,0,0,0,0,2.65035858139306
"WuShan","R26","sophomore",1,1,0,1,1,2.3937518420277
"WuShan","R27","junior",1,1,0,0,1,2.47273798997937
"WuShan","R28","sophomore",1,0,0,1,1,2.64357991944199
"WuShan","R29","junior",1,0,0,0,1,2.2612240888103
"WuShan","R30","freshman",1,1,0,1,1,2.51036447588172
"WuShan","R31","junior",1,1,0,0,1,1.96148934079969
"WuShan","R32","junior",1,1,0,0,1,2.56754101581688
"WuShan","R33","sophomore",1,1,0,0,0,1.96148934079969
"WuShan","R34","sophomore",1,1,1,1,1,2.27085175361037
"WuShan","R35","freshman",1,1,1,1,1,2.5473032714412
"WuShan","R36","freshman",1,0,1,1,1,2.04381569898811
"WuShan","R37","senior",1,1,0,1,0,2.51498182532665
"WuShan","R38","junior",1,1,1,1,1,2.21357697219766
"WuShan","R39","junior",1,0,0,0,1,1.96148934079969
"WuShan","R40","senior",1,1,1,1,1,2.23577954612437
"WuShan","R41","senior",1,0,0,0,1,2.52598487081246
"WuShan","R42","graduate",1,0,1,1,0,2.09185578151095
"WuShan","R43","senior",1,1,1,1,0,2.00501031535514
"WuShan","R44","junior",1,1,0,1,0,2.52009038215935
"WuShan","R45","senior",1,1,1,1,0,2.3907063562236
